"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US55025000100","Census Tract 1, Dane County, Wisconsin","2378","213",
"1400000US55025000201","Census Tract 2.01, Dane County, Wisconsin","2270","348",
"1400000US55025000202","Census Tract 2.02, Dane County, Wisconsin","3186","295",
"1400000US55025000204","Census Tract 2.04, Dane County, Wisconsin","5815","767",
"1400000US55025000205","Census Tract 2.05, Dane County, Wisconsin","4923","472",
"1400000US55025000301","Census Tract 3.01, Dane County, Wisconsin","3573","394",
"1400000US55025000302","Census Tract 3.02, Dane County, Wisconsin","2102","325",
"1400000US55025000401","Census Tract 4.01, Dane County, Wisconsin","3218","287",
"1400000US55025000402","Census Tract 4.02, Dane County, Wisconsin","3138","581",
"1400000US55025000406","Census Tract 4.06, Dane County, Wisconsin","3465","432",
"1400000US55025000407","Census Tract 4.07, Dane County, Wisconsin","5723","1061",
"1400000US55025000408","Census Tract 4.08, Dane County, Wisconsin","1815","235",
"1400000US55025000409","Census Tract 4.09, Dane County, Wisconsin","4483","458",
"1400000US55025000410","Census Tract 4.10, Dane County, Wisconsin","2697","623",
"1400000US55025000501","Census Tract 5.01, Dane County, Wisconsin","4584","673",
"1400000US55025000504","Census Tract 5.04, Dane County, Wisconsin","6863","719",
"1400000US55025000505","Census Tract 5.05, Dane County, Wisconsin","3252","372",
"1400000US55025000506","Census Tract 5.06, Dane County, Wisconsin","3601","521",
"1400000US55025000600","Census Tract 6, Dane County, Wisconsin","5357","673",
"1400000US55025000700","Census Tract 7, Dane County, Wisconsin","3066","427",
"1400000US55025000800","Census Tract 8, Dane County, Wisconsin","4074","475",
"1400000US55025000901","Census Tract 9.01, Dane County, Wisconsin","2074","172",
"1400000US55025000902","Census Tract 9.02, Dane County, Wisconsin","5828","736",
"1400000US55025001000","Census Tract 10, Dane County, Wisconsin","2674","359",
"1400000US55025001101","Census Tract 11.01, Dane County, Wisconsin","5181","886",
"1400000US55025001102","Census Tract 11.02, Dane County, Wisconsin","3794","311",
"1400000US55025001200","Census Tract 12, Dane County, Wisconsin","6318","844",
"1400000US55025001300","Census Tract 13, Dane County, Wisconsin","2499","305",
"1400000US55025001401","Census Tract 14.01, Dane County, Wisconsin","7234","990",
"1400000US55025001402","Census Tract 14.02, Dane County, Wisconsin","5437","704",
"1400000US55025001404","Census Tract 14.04, Dane County, Wisconsin","4815","581",
"1400000US55025001405","Census Tract 14.05, Dane County, Wisconsin","4135","614",
"1400000US55025001501","Census Tract 15.01, Dane County, Wisconsin","1783","264",
"1400000US55025001502","Census Tract 15.02, Dane County, Wisconsin","4390","927",
"1400000US55025001603","Census Tract 16.03, Dane County, Wisconsin","5233","947",
"1400000US55025001604","Census Tract 16.04, Dane County, Wisconsin","6155","1046",
"1400000US55025001605","Census Tract 16.05, Dane County, Wisconsin","3334","574",
"1400000US55025001606","Census Tract 16.06, Dane County, Wisconsin","8143","760",
"1400000US55025001704","Census Tract 17.04, Dane County, Wisconsin","3872","647",
"1400000US55025001706","Census Tract 17.06, Dane County, Wisconsin","2775","474",
"1400000US55025001707","Census Tract 17.07, Dane County, Wisconsin","1482","275",
"1400000US55025001802","Census Tract 18.02, Dane County, Wisconsin","3138","318",
"1400000US55025001804","Census Tract 18.04, Dane County, Wisconsin","3916","483",
"1400000US55025001901","Census Tract 19.01, Dane County, Wisconsin","4191","787",
"1400000US55025001902","Census Tract 19.02, Dane County, Wisconsin","3146","836",
"1400000US55025002000","Census Tract 20, Dane County, Wisconsin","6033","598",
"1400000US55025002100","Census Tract 21, Dane County, Wisconsin","5081","725",
"1400000US55025002200","Census Tract 22, Dane County, Wisconsin","4388","592",
"1400000US55025002301","Census Tract 23.01, Dane County, Wisconsin","3165","418",
"1400000US55025002302","Census Tract 23.02, Dane County, Wisconsin","1602","214",
"1400000US55025002401","Census Tract 24.01, Dane County, Wisconsin","3337","505",
"1400000US55025002402","Census Tract 24.02, Dane County, Wisconsin","4352","736",
"1400000US55025002500","Census Tract 25, Dane County, Wisconsin","1855","204",
"1400000US55025002601","Census Tract 26.01, Dane County, Wisconsin","2149","275",
"1400000US55025002602","Census Tract 26.02, Dane County, Wisconsin","5116","577",
"1400000US55025002603","Census Tract 26.03, Dane County, Wisconsin","5412","592",
"1400000US55025002700","Census Tract 27, Dane County, Wisconsin","3166","328",
"1400000US55025002800","Census Tract 28, Dane County, Wisconsin","2164","182",
"1400000US55025002900","Census Tract 29, Dane County, Wisconsin","3348","570",
"1400000US55025003001","Census Tract 30.01, Dane County, Wisconsin","4729","421",
"1400000US55025003002","Census Tract 30.02, Dane County, Wisconsin","3571","505",
"1400000US55025003100","Census Tract 31, Dane County, Wisconsin","6021","568",
"1400000US55025003200","Census Tract 32, Dane County, Wisconsin","2689","421",
"1400000US55025010100","Census Tract 101, Dane County, Wisconsin","2005","344",
"1400000US55025010200","Census Tract 102, Dane County, Wisconsin","1256","171",
"1400000US55025010300","Census Tract 103, Dane County, Wisconsin","3755","310",
"1400000US55025010400","Census Tract 104, Dane County, Wisconsin","3310","335",
"1400000US55025010501","Census Tract 105.01, Dane County, Wisconsin","3588","441",
"1400000US55025010503","Census Tract 105.03, Dane County, Wisconsin","4993","341",
"1400000US55025010504","Census Tract 105.04, Dane County, Wisconsin","3711","335",
"1400000US55025010600","Census Tract 106, Dane County, Wisconsin","5767","244",
"1400000US55025010701","Census Tract 107.01, Dane County, Wisconsin","6508","654",
"1400000US55025010702","Census Tract 107.02, Dane County, Wisconsin","9079","1194",
"1400000US55025010801","Census Tract 108.01, Dane County, Wisconsin","6166","807",
"1400000US55025010802","Census Tract 108.02, Dane County, Wisconsin","5529","453",
"1400000US55025010903","Census Tract 109.03, Dane County, Wisconsin","3456","465",
"1400000US55025010905","Census Tract 109.05, Dane County, Wisconsin","4502","653",
"1400000US55025010906","Census Tract 109.06, Dane County, Wisconsin","4149","458",
"1400000US55025010907","Census Tract 109.07, Dane County, Wisconsin","4737","323",
"1400000US55025010908","Census Tract 109.08, Dane County, Wisconsin","4845","393",
"1400000US55025011000","Census Tract 110, Dane County, Wisconsin","4167","449",
"1400000US55025011101","Census Tract 111.01, Dane County, Wisconsin","5160","627",
"1400000US55025011103","Census Tract 111.03, Dane County, Wisconsin","4866","507",
"1400000US55025011104","Census Tract 111.04, Dane County, Wisconsin","3996","467",
"1400000US55025011201","Census Tract 112.01, Dane County, Wisconsin","3888","409",
"1400000US55025011202","Census Tract 112.02, Dane County, Wisconsin","6207","748",
"1400000US55025011301","Census Tract 113.01, Dane County, Wisconsin","6582","543",
"1400000US55025011302","Census Tract 113.02, Dane County, Wisconsin","3153","449",
"1400000US55025011403","Census Tract 114.03, Dane County, Wisconsin","3033","501",
"1400000US55025011404","Census Tract 114.04, Dane County, Wisconsin","7045","621",
"1400000US55025011405","Census Tract 114.05, Dane County, Wisconsin","3976","521",
"1400000US55025011406","Census Tract 114.06, Dane County, Wisconsin","4706","1410",
"1400000US55025011407","Census Tract 114.07, Dane County, Wisconsin","1751","216",
"1400000US55025011504","Census Tract 115.04, Dane County, Wisconsin","4492","740",
"1400000US55025011505","Census Tract 115.05, Dane County, Wisconsin","4175","395",
"1400000US55025011506","Census Tract 115.06, Dane County, Wisconsin","5951","718",
"1400000US55025011507","Census Tract 115.07, Dane County, Wisconsin","5917","804",
"1400000US55025011508","Census Tract 115.08, Dane County, Wisconsin","3614","399",
"1400000US55025011600","Census Tract 116, Dane County, Wisconsin","7427","641",
"1400000US55025011700","Census Tract 117, Dane County, Wisconsin","4115","394",
"1400000US55025011800","Census Tract 118, Dane County, Wisconsin","6543","551",
"1400000US55025011900","Census Tract 119, Dane County, Wisconsin","6947","331",
"1400000US55025012002","Census Tract 120.02, Dane County, Wisconsin","4896","370",
"1400000US55025012003","Census Tract 120.03, Dane County, Wisconsin","6631","476",
"1400000US55025012004","Census Tract 120.04, Dane County, Wisconsin","2744","442",
"1400000US55025012100","Census Tract 121, Dane County, Wisconsin","2543","229",
"1400000US55025012201","Census Tract 122.01, Dane County, Wisconsin","2253","412",
"1400000US55025012202","Census Tract 122.02, Dane County, Wisconsin","6743","517",
"1400000US55025012300","Census Tract 123, Dane County, Wisconsin","5368","470",
"1400000US55025012400","Census Tract 124, Dane County, Wisconsin","4612","409",
"1400000US55025012501","Census Tract 125.01, Dane County, Wisconsin","6781","618",
"1400000US55025012502","Census Tract 125.02, Dane County, Wisconsin","6062","529",
"1400000US55025012600","Census Tract 126, Dane County, Wisconsin","4544","307",
"1400000US55025012700","Census Tract 127, Dane County, Wisconsin","5160","1161",
"1400000US55025012800","Census Tract 128, Dane County, Wisconsin","8010","116",
"1400000US55025012900","Census Tract 129, Dane County, Wisconsin","3938","336",
"1400000US55025013000","Census Tract 130, Dane County, Wisconsin","4937","263",
"1400000US55025013100","Census Tract 131, Dane County, Wisconsin","4640","319",
"1400000US55025013201","Census Tract 132.01, Dane County, Wisconsin","3962","514",
"1400000US55025013202","Census Tract 132.02, Dane County, Wisconsin","5987","396",
"1400000US55025013301","Census Tract 133.01, Dane County, Wisconsin","5746","524",
"1400000US55025013302","Census Tract 133.02, Dane County, Wisconsin","5896","458",
"1400000US55025013700","Census Tract 137, Dane County, Wisconsin","6631","498",
"1400000US55025991702","Census Tract 9917.02, Dane County, Wisconsin","0","9",
"1400000US55025991703","Census Tract 9917.03, Dane County, Wisconsin","0","9",
